วันที่,จำนวนคนตาย,จำนวนคนบาดเจ็บ,,,,,,,,,,,,,,,,,
2017-02-07,40,3048,,,,,,,,,,,,,,,,,
2017-02-08,38,2959,,,,,,,,,,,,,,,,,
2017-02-09,54,2990,,,,,,,,,,,,,,,,,
2017-02-10,51,2947,,,,,,,,,,,,,,,,,
2017-02-11,27,2762,,,,,,,,,,,,,,,,,
2017-02-12,17,2401,,,,,,,,,,,,,,,,,
2017-02-13,22,2637,,,,,,,,,,,,,,,,,
2017-02-14,46,3333,,,,,,,,,,,,,,,,,
2017-02-15,56,2971,,,,,,,,,,,,,,,,,
2017-02-16,53,2878,,,,,,,,,,,,,,,,,
2017-02-17,65,3099,,,,,,,,,,,,,,,,,
2017-02-18,27,2590,,,,,,,,,,,,,,,,,
2017-02-19,39,2804,,,,,,,,,,,,,,,,,
2017-02-20,66,3709,,,,,,,,,,,,,,,,,
2017-02-21,48,2972,,,,,,,,,,,,,,,,,
2017-02-22,48,2844,,,,,,,,,,,,,,,,,
2017-02-23,32,2871,,,,,,,,,,,,,,,,,
2017-02-24,48,2934,,,,,,,,,,,,,,,,,
2017-02-25,25,2686,,,,,,,,,,,,,,,,,
2017-02-26,19,2704,,,,,,,,,,,,,,,,,
2017-02-27,64,3517,,,,,,,,,,,,,,,,,
2017-02-28,45,3117,,,,,,,,,,,,,,,,,
2017-03-01,57,3203,,,,,,,,,,,,,,,,,
2017-03-02,41,3294,,,,,,,,,,,,,,,,,
2017-03-03,41,3404,,,,,,,,,,,,,,,,,
2017-03-04,29,2888,,,,,,,,,,,,,,,,,
2017-03-05,27,2620,,,,,,,,,,,,,,,,,
2017-03-06,31,3381,,,,,,,,,,,,,,,,,
2017-03-07,66,3186,,,,,,,,,,,,,,,,,
2017-03-08,56,3045,,,,,,,,,,,,,,,,,
2017-03-09,51,3314,,,,,,,,,,,,,,,,,
2017-03-10,53,3225,,,,,,,,,,,,,,,,,
2017-03-11,30,2593,,,,,,,,,,,,,,,,,
2017-03-12,26,2648,,,,,,,,,,,,,,,,,
2017-03-13,56,3503,,,,,,,,,,,,,,,,,
2017-03-14,55,3019,,,,,,,,,,,,,,,,,
2017-03-15,56,2973,,,,,,,,,,,,,,,,,
2017-03-16,44,2928,,,,,,,,,,,,,,,,,
2017-03-17,56,2729,,,,,,,,,,,,,,,,,
2017-03-18,18,2885,,,,,,,,,,,,,,,,,
2017-03-19,14,2600,,,,,,,,,,,,,,,,,
2017-03-20,45,3294,,,,,,,,,,,,,,,,,
2017-03-21,46,2738,,,,,,,,,,,,,,,,,
2017-03-22,32,2680,,,,,,,,,,,,,,,,,
2017-03-23,43,2655,,,,,,,,,,,,,,,,,
2017-03-24,54,2575,,,,,,,,,,,,,,,,,
2017-03-25,12,1470,,,,,,,,,,,,,,,,,
2017-03-26,24,3328,,,,,,,,,,,,,,,,,
2017-03-27,62,3281,,,,,,,,,,,,,,,,,
2017-03-28,44,2712,,,,,,,,,,,,,,,,,
2017-03-29,45,2591,,,,,,,,,,,,,,,,,
2017-03-30,39,2539,,,,,,,,,,,,,,,,,
2017-03-31,50,2788,,,,,,,,,,,,,,,,,
2017-04-01,25,2171,,,,,,,,,,,,,,,,,
2017-04-02,24,2535,,,,,,,,,,,,,,,,,
2017-04-03,53,3132,,,,,,,,,,,,,,,,,
2017-04-04,48,2757,,,,,,,,,,,,,,,,,
2017-04-05,42,2738,,,,,,,,,,,,,,,,,
2017-04-06,25,1959,,,,,,,,,,,,,,,,,
2017-04-07,53,2501,,,,,,,,,,,,,,,,,
2017-04-08,18,2039,,,,,,,,,,,,,,,,,
2017-04-09,28,2128,,,,,,,,,,,,,,,,,
2017-04-10,89,3158,,,,,,,,,,,,,,,,,
2017-04-11,71,3036,,,,,,,,,,,,,,,,,
2017-04-12,71,3632,,,,,,,,,,,,,,,,,
2017-04-13,76,4103,,,,,,,,,,,,,,,,,
2017-04-14,94,4104,,,,,,,,,,,,,,,,,
2017-04-15,76,3440,,,,,,,,,,,,,,,,,
2017-04-16,66,2974,,,,,,,,,,,,,,,,,
2017-04-17,70,2647,,,,,,,,,,,,,,,,,
2017-04-18,54,2689,,,,,,,,,,,,,,,,,
2017-04-19,39,2470,,,,,,,,,,,,,,,,,
2017-04-20,41,2291,,,,,,,,,,,,,,,,,
2017-04-21,34,2300,,,,,,,,,,,,,,,,,
2017-04-22,17,1921,,,,,,,,,,,,,,,,,
2017-04-23,14,2037,,,,,,,,,,,,,,,,,
2017-04-24,43,2865,,,,,,,,,,,,,,,,,
2017-04-25,47,2454,,,,,,,,,,,,,,,,,
2017-04-26,43,2367,,,,,,,,,,,,,,,,,
2017-04-27,44,2350,,,,,,,,,,,,,,,,,
2017-04-28,43,2457,,,,,,,,,,,,,,,,,
2017-04-29,28,2045,,,,,,,,,,,,,,,,,
2017-04-30,26,2245,,,,,,,,,,,,,,,,,
2017-05-01,20,2711,,,,,,,,,,,,,,,,,
2017-05-02,74,2779,,,,,,,,,,,,,,,,,
2017-05-03,50,2535,,,,,,,,,,,,,,,,,
2017-05-04,39,2651,,,,,,,,,,,,,,,,,
2017-05-05,47,2886,,,,,,,,,,,,,,,,,
2017-05-06,17,2260,,,,,,,,,,,,,,,,,
2017-05-07,25,2298,,,,,,,,,,,,,,,,,
2017-05-08,78,3166,,,,,,,,,,,,,,,,,
2017-05-09,47,2643,,,,,,,,,,,,,,,,,
2017-05-10,15,1991,,,,,,,,,,,,,,,,,
2017-05-11,54,2938,,,,,,,,,,,,,,,,,
2017-05-12,32,2204,,,,,,,,,,,,,,,,,
2017-05-13,17,2044,,,,,,,,,,,,,,,,,
2017-05-14,27,2182,,,,,,,,,,,,,,,,,
2017-05-15,46,2787,,,,,,,,,,,,,,,,,
2017-05-16,40,2496,,,,,,,,,,,,,,,,,
2017-05-17,32,2337,,,,,,,,,,,,,,,,,
2017-05-18,40,2227,,,,,,,,,,,,,,,,,
2017-05-19,45,2447,,,,,,,,,,,,,,,,,
2017-05-20,20,2313,,,,,,,,,,,,,,,,,
2017-05-21,17,2389,,,,,,,,,,,,,,,,,
2017-05-22,50,3167,,,,,,,,,,,,,,,,,
2017-05-23,44,2569,,,,,,,,,,,,,,,,,
2017-05-24,68,2593,,,,,,,,,,,,,,,,,
2017-05-25,20,2334,,,,,,,,,,,,,,,,,
2017-05-26,31,2450,,,,,,,,,,,,,,,,,
2017-05-27,23,2132,,,,,,,,,,,,,,,,,
2017-05-28,33,2171,,,,,,,,,,,,,,,,,
2017-05-29,88,3012,,,,,,,,,,,,,,,,,
2017-05-30,54,2504,,,,,,,,,,,,,,,,,
2017-05-31,40,2395,,,,,,,,,,,,,,,,,
2017-06-01,20,2691,,,,,,,,,,,,,,,,,
2017-06-02,52,2748,,,,,,,,,,,,,,,,,
2017-06-03,21,2645,,,,,,,,,,,,,,,,,
2017-06-04,31,2615,,,,,,,,,,,,,,,,,
2017-06-05,54,3429,,,,,,,,,,,,,,,,,
2017-06-06,57,2760,,,,,,,,,,,,,,,,,
2017-06-07,48,2747,,,,,,,,,,,,,,,,,
2017-06-08,43,2840,,,,,,,,,,,,,,,,,
2017-06-09,41,2678,,,,,,,,,,,,,,,,,
2017-06-10,21,2140,,,,,,,,,,,,,,,,,
2017-06-11,25,2427,,,,,,,,,,,,,,,,,
2017-06-12,70,3015,,,,,,,,,,,,,,,,,
2017-06-13,42,2728,,,,,,,,,,,,,,,,,
2017-06-14,60,2692,,,,,,,,,,,,,,,,,
2017-06-15,32,2497,,,,,,,,,,,,,,,,,
2017-06-16,27,2660,,,,,,,,,,,,,,,,,
2017-06-17,18,2436,,,,,,,,,,,,,,,,,
2017-06-18,38,2586,,,,,,,,,,,,,,,,,
2017-06-19,66,3303,,,,,,,,,,,,,,,,,
2017-06-20,50,2978,,,,,,,,,,,,,,,,,
2017-06-21,63,2883,,,,,,,,,,,,,,,,,
2017-06-22,35,2696,,,,,,,,,,,,,,,,,
2017-06-23,48,2860,,,,,,,,,,,,,,,,,
2017-06-24,28,2471,,,,,,,,,,,,,,,,,
2017-06-25,19,2708,,,,,,,,,,,,,,,,,
2017-06-26,75,3357,,,,,,,,,,,,,,,,,
2017-06-27,53,2815,,,,,,,,,,,,,,,,,
2017-06-28,29,2657,,,,,,,,,,,,,,,,,
2017-06-29,48,2703,,,,,,,,,,,,,,,,,
2017-06-30,47,2706,,,,,,,,,,,,,,,,,
2017-07-01,13,2479,,,,,,,,,,,,,,,,,
2017-07-02,33,2866,,,,,,,,,,,,,,,,,
2017-07-03,49,3406,,,,,,,,,,,,,,,,,
2017-07-04,48,2491,,,,,,,,,,,,,,,,,
2017-07-05,46,3044,,,,,,,,,,,,,,,,,
2017-07-06,34,2787,,,,,,,,,,,,,,,,,
2017-07-07,40,3149,,,,,,,,,,,,,,,,,
2017-07-08,19,2401,,,,,,,,,,,,,,,,,
2017-07-09,19,2072,,,,,,,,,,,,,,,,,
2017-07-10,26,2140,,,,,,,,,,,,,,,,,
2017-07-11,43,2629,,,,,,,,,,,,,,,,,
2017-07-12,47,2639,,,,,,,,,,,,,,,,,
2017-07-13,37,2478,,,,,,,,,,,,,,,,,
2017-07-14,33,2416,,,,,,,,,,,,,,,,,
2017-07-15,22,2098,,,,,,,,,,,,,,,,,
2017-07-16,14,2288,,,,,,,,,,,,,,,,,
2017-07-17,46,3049,,,,,,,,,,,,,,,,,
2017-07-18,31,2504,,,,,,,,,,,,,,,,,
2017-07-19,42,2459,,,,,,,,,,,,,,,,,
2017-07-20,31,2562,,,,,,,,,,,,,,,,,
2017-07-21,36,2626,,,,,,,,,,,,,,,,,
2017-07-22,13,2049,,,,,,,,,,,,,,,,,
2017-07-23,27,2168,,,,,,,,,,,,,,,,,
2017-07-24,60,2915,,,,,,,,,,,,,,,,,
2017-07-25,24,2555,,,,,,,,,,,,,,,,,
2017-07-26,31,2545,,,,,,,,,,,,,,,,,
2017-07-27,36,2471,,,,,,,,,,,,,,,,,
2017-07-28,26,2324,,,,,,,,,,,,,,,,,
2017-07-29,16,2086,,,,,,,,,,,,,,,,,
2017-07-30,19,2095,,,,,,,,,,,,,,,,,
2017-07-31,59,3135,,,,,,,,,,,,,,,,,
2017-08-01,54,2825,,,,,,,,,,,,,,,,,
2017-08-02,39,3020,,,,,,,,,,,,,,,,,
2017-08-03,36,2821,,,,,,,,,,,,,,,,,
2017-08-04,37,2923,,,,,,,,,,,,,,,,,
2017-08-05,27,2354,,,,,,,,,,,,,,,,,
2017-08-06,24,2476,,,,,,,,,,,,,,,,,
2017-08-07,41,3070,,,,,,,,,,,,,,,,,
2017-08-08,47,2588,,,,,,,,,,,,,,,,,
2017-08-09,25,2528,,,,,,,,,,,,,,,,,
2017-08-10,37,2626,,,,,,,,,,,,,,,,,
2017-08-11,36,2974,,,,,,,,,,,,,,,,,
2017-08-12,22,2526,,,,,,,,,,,,,,,,,
2017-08-13,28,2323,,,,,,,,,,,,,,,,,
2017-08-14,16,2360,,,,,,,,,,,,,,,,,
2017-08-15,55,3102,,,,,,,,,,,,,,,,,
2017-08-16,41,2623,,,,,,,,,,,,,,,,,
2017-08-17,42,2586,,,,,,,,,,,,,,,,,
2017-08-18,36,2758,,,,,,,,,,,,,,,,,
2017-08-19,16,2271,,,,,,,,,,,,,,,,,
2017-08-20,25,2144,,,,,,,,,,,,,,,,,
2017-08-21,49,2983,,,,,,,,,,,,,,,,,
2017-08-22,42,2570,,,,,,,,,,,,,,,,,
2017-08-23,39,2574,,,,,,,,,,,,,,,,,
2017-08-24,41,2444,,,,,,,,,,,,,,,,,
2017-08-25,35,2592,,,,,,,,,,,,,,,,,
2017-08-26,20,2170,,,,,,,,,,,,,,,,,
2017-08-27,17,2317,,,,,,,,,,,,,,,,,
2017-08-28,50,2964,,,,,,,,,,,,,,,,,
2017-08-29,57,2543,,,,,,,,,,,,,,,,,
2017-08-30,43,2329,,,,,,,,,,,,,,,,,
2017-08-31,27,2377,,,,,,,,,,,,,,,,,
2017-09-01,33,2814,,,,,,,,,,,,,,,,,
2017-09-02,25,2497,,,,,,,,,,,,,,,,,
2017-09-03,42,2853,,,,,,,,,,,,,,,,,
2017-09-04,60,3296,,,,,,,,,,,,,,,,,
2017-09-05,48,2790,,,,,,,,,,,,,,,,,
2017-09-06,56,2786,,,,,,,,,,,,,,,,,
2017-09-07,42,2859,,,,,,,,,,,,,,,,,
2017-09-08,25,2580,,,,,,,,,,,,,,,,,
2017-09-09,24,2392,,,,,,,,,,,,,,,,,
2017-09-10,29,2390,,,,,,,,,,,,,,,,,
2017-09-11,51,3189,,,,,,,,,,,,,,,,,
2017-09-12,32,2606,,,,,,,,,,,,,,,,,
2017-09-13,39,2701,,,,,,,,,,,,,,,,,
2017-09-14,48,2604,,,,,,,,,,,,,,,,,
2017-09-15,39,2583,,,,,,,,,,,,,,,,,
2017-09-16,38,2424,,,,,,,,,,,,,,,,,
2017-09-17,25,2365,,,,,,,,,,,,,,,,,
2017-09-18,43,3235,,,,,,,,,,,,,,,,,
2017-09-19,37,2839,,,,,,,,,,,,,,,,,
2017-09-20,30,2548,,,,,,,,,,,,,,,,,
2017-09-21,34,2610,,,,,,,,,,,,,,,,,
2017-09-22,38,2564,,,,,,,,,,,,,,,,,
2017-09-23,28,2175,,,,,,,,,,,,,,,,,
2017-09-24,22,2105,,,,,,,,,,,,,,,,,
2017-09-25,49,2983,,,,,,,,,,,,,,,,,
2017-09-26,30,2713,,,,,,,,,,,,,,,,,
2017-09-27,44,2643,,,,,,,,,,,,,,,,,
2017-09-28,31,2582,,,,,,,,,,,,,,,,,
2017-09-29,32,2581,,,,,,,,,,,,,,,,,
2017-09-30,34,2224,,,,,,,,,,,,,,,,,
2017-10-01,22,2552,,,,,,,,,,,,,,,,,
2017-10-02,83,3422,,,,,,,,,,,,,,,,,
2017-10-03,40,2622,,,,,,,,,,,,,,,,,
2017-10-04,46,2605,,,,,,,,,,,,,,,,,
2017-10-05,65,2817,,,,,,,,,,,,,,,,,
2017-10-06,40,2906,,,,,,,,,,,,,,,,,
2017-10-07,23,2358,,,,,,,,,,,,,,,,,
2017-10-08,20,2401,,,,,,,,,,,,,,,,,
2017-10-09,51,3213,,,,,,,,,,,,,,,,,
2017-10-10,50,2666,,,,,,,,,,,,,,,,,
2017-10-11,40,2632,,,,,,,,,,,,,,,,,
2017-10-12,45,2537,,,,,,,,,,,,,,,,,
2017-10-13,32,2090,,,,,,,,,,,,,,,,,
2017-10-14,15,2010,,,,,,,,,,,,,,,,,
2017-10-15,33,2149,,,,,,,,,,,,,,,,,
2017-10-16,36,2990,,,,,,,,,,,,,,,,,
2017-10-17,46,2587,,,,,,,,,,,,,,,,,
2017-10-18,39,2477,,,,,,,,,,,,,,,,,
2017-10-19,49,2583,,,,,,,,,,,,,,,,,
2017-10-20,37,2828,,,,,,,,,,,,,,,,,
2017-10-21,27,2347,,,,,,,,,,,,,,,,,
2017-10-22,27,2361,,,,,,,,,,,,,,,,,
2017-10-23,21,2394,,,,,,,,,,,,,,,,,
2017-10-24,57,2856,,,,,,,,,,,,,,,,,
2017-10-25,34,2764,,,,,,,,,,,,,,,,,
2017-10-26,15,1855,,,,,,,,,,,,,,,,,
2017-10-27,32,2861,,,,,,,,,,,,,,,,,
2017-10-28,11,2138,,,,,,,,,,,,,,,,,
2017-10-29,18,2291,,,,,,,,,,,,,,,,,
2017-10-30,55,3135,,,,,,,,,,,,,,,,,
2017-10-31,39,2918,,,,,,,,,,,,,,,,,
2017-11-01,49,2849,,,,,,,,,,,,,,,,,
2017-11-02,53,3018,,,,,,,,,,,,,,,,,
2017-11-03,43,3361,,,,,,,,,,,,,,,,,
2017-11-04,40,3213,,,,,,,,,,,,,,,,,
2017-11-05,30,2663,,,,,,,,,,,,,,,,,
2017-11-06,62,3522,,,,,,,,,,,,,,,,,
2017-11-07,46,2842,,,,,,,,,,,,,,,,,
2017-11-08,46,2708,,,,,,,,,,,,,,,,,
2017-11-09,51,2915,,,,,,,,,,,,,,,,,
2017-11-10,54,2987,,,,,,,,,,,,,,,,,
2017-11-11,21,2643,,,,,,,,,,,,,,,,,
2017-11-12,20,2657,,,,,,,,,,,,,,,,,
2017-11-13,61,3568,,,,,,,,,,,,,,,,,
2017-11-14,42,2957,,,,,,,,,,,,,,,,,
2017-11-15,49,2902,,,,,,,,,,,,,,,,,
2017-11-16,52,2936,,,,,,,,,,,,,,,,,
2017-11-17,48,3092,,,,,,,,,,,,,,,,,
2017-11-18,34,2636,,,,,,,,,,,,,,,,,
2017-11-19,27,2661,,,,,,,,,,,,,,,,,
2017-11-20,56,3705,,,,,,,,,,,,,,,,,
2017-11-21,56,2946,,,,,,,,,,,,,,,,,
2017-11-22,48,2994,,,,,,,,,,,,,,,,,
2017-11-23,25,1253,,,,,,,,,,,,,,,,,
2017-11-24,56,3002,,,,,,,,,,,,,,,,,
2017-11-25,23,2465,,,,,,,,,,,,,,,,,
2017-11-26,32,2489,,,,,,,,,,,,,,,,,
2017-11-27,42,2348,,,,,,,,,,,,,,,,,
2017-11-28,39,2147,,,,,,,,,,,,,,,,,
2017-11-29,51,2835,,,,,,,,,,,,,,,,,
2017-11-30,50,3070,,,,,,,,,,,,,,,,,
2017-12-01,43,2959,,,,,,,,,,,,,,,,,
2017-12-02,33,2846,,,,,,,,,,,,,,,,,
2017-12-03,57,2951,,,,,,,,,,,,,,,,,
2017-12-04,31,3610,,,,,,,,,,,,,,,,,
2017-12-05,28,2393,,,,,,,,,,,,,,,,,
2017-12-06,64,3137,,,,,,,,,,,,,,,,,
2017-12-07,47,2897,,,,,,,,,,,,,,,,,
2017-12-08,31,2988,,,,,,,,,,,,,,,,,
2017-12-09,21,2477,,,,,,,,,,,,,,,,,
2017-12-10,36,2585,,,,,,,,,,,,,,,,,
2017-12-11,30,2633,,,,,,,,,,,,,,,,,
2017-12-12,60,3226,,,,,,,,,,,,,,,,,
2017-12-13,24,2903,,,,,,,,,,,,,,,,,
2017-12-14,35,2706,,,,,,,,,,,,,,,,,
2017-12-15,46,2955,,,,,,,,,,,,,,,,,
2017-12-16,28,2719,,,,,,,,,,,,,,,,,
2017-12-17,29,2860,,,,,,,,,,,,,,,,,
2017-12-18,78,3486,,,,,,,,,,,,,,,,,
2017-12-19,21,2897,,,,,,,,,,,,,,,,,
2017-12-20,50,2848,,,,,,,,,,,,,,,,,
2017-12-21,43,2998,,,,,,,,,,,,,,,,,
2017-12-22,49,3017,,,,,,,,,,,,,,,,,
2017-12-23,43,2879,,,,,,,,,,,,,,,,,
2017-12-24,45,3114,,,,,,,,,,,,,,,,,
2017-12-25,61,3703,,,,,,,,,,,,,,,,,
2017-12-26,15,1391,,,,,,,,,,,,,,,,,
2017-12-27,72,5804,,,,,,,,,,,,,,,,,
2017-12-28,58,3224,,,,,,,,,,,,,,,,,
2017-12-29,43,3810,,,,,,,,,,,,,,,,,
2017-12-30,51,3305,,,,,,,,,,,,,,,,,
2017-12-31,86,3389,,,,,,,,,,,,,,,,,
2018-01-01,106,3857,,,,,,,,,,,,,,,,,
2018-01-02,81,2887,,,,,,,,,,,,,,,,,
2018-01-03,76,2410,,,,,,,,,,,,,,,,,
2018-01-04,75,3457,,,,,,,,,,,,,,,,,
2018-01-05,18,1036,,,,,,,,,,,,,,,,,
2018-01-06,23,1979,,,,,,,,,,,,,,,,,
2018-01-07,16,2253,,,,,,,,,,,,,,,,,
2018-01-08,46,3014,,,,,,,,,,,,,,,,,
2018-01-09,45,2706,,,,,,,,,,,,,,,,,
2018-01-10,38,2634,,,,,,,,,,,,,,,,,
2018-01-11,46,2454,,,,,,,,,,,,,,,,,
2018-01-12,42,2747,,,,,,,,,,,,,,,,,
2018-01-13,18,2482,,,,,,,,,,,,,,,,,
2018-01-14,30,2476,,,,,,,,,,,,,,,,,
2018-01-15,54,3218,,,,,,,,,,,,,,,,,
2018-01-16,31,2834,,,,,,,,,,,,,,,,,
2018-01-17,42,2755,,,,,,,,,,,,,,,,,
2018-01-18,49,2830,,,,,,,,,,,,,,,,,
2018-01-19,40,3024,,,,,,,,,,,,,,,,,
2018-01-20,30,2531,,,,,,,,,,,,,,,,,
2018-01-21,10,881,,,,,,,,,,,,,,,,,
2018-01-22,101,4902,,,,,,,,,,,,,,,,,
2018-01-23,60,2886,,,,,,,,,,,,,,,,,
2018-01-24,49,2787,,,,,,,,,,,,,,,,,
2018-01-25,38,2596,,,,,,,,,,,,,,,,,
2018-01-26,67,2872,,,,,,,,,,,,,,,,,
2018-01-27,37,2352,,,,,,,,,,,,,,,,,
2018-01-28,33,2550,,,,,,,,,,,,,,,,,
2018-01-29,74,3345,,,,,,,,,,,,,,,,,
2018-01-30,41,2801,,,,,,,,,,,,,,,,,
2018-01-31,39,2539,,,,,,,,,,,,,,,,,
2018-02-01,43,3306,,,,,,,,,,,,,,,,,
2018-02-02,48,3104,,,,,,,,,,,,,,,,,
2018-02-03,28,2618,,,,,,,,,,,,,,,,,
2018-02-04,21,2737,,,,,,,,,,,,,,,,,
2018-02-05,70,3445,,,,,,,,,,,,,,,,,
2018-02-06,47,3021,,,,,,,,,,,,,,,,,
2018-02-07,41,2814,,,,,,,,,,,,,,,,,
2018-02-08,39,2975,,,,,,,,,,,,,,,,,
2018-02-09,26,2921,,,,,,,,,,,,,,,,,
2018-02-10,33,2715,,,,,,,,,,,,,,,,,
2018-02-11,25,2541,,,,,,,,,,,,,,,,,
2018-02-12,60,3468,,,,,,,,,,,,,,,,,
2018-02-13,60,3064,,,,,,,,,,,,,,,,,
2018-02-14,55,3246,,,,,,,,,,,,,,,,,
2018-02-15,46,3345,,,,,,,,,,,,,,,,,
2018-02-16,38,3386,,,,,,,,,,,,,,,,,
2018-02-17,34,2883,,,,,,,,,,,,,,,,,
2018-02-18,42,2887,,,,,,,,,,,,,,,,,
2018-02-19,69,3632,,,,,,,,,,,,,,,,,
2018-02-20,75,3036,,,,,,,,,,,,,,,,,
2018-02-21,34,3040,,,,,,,,,,,,,,,,,
2018-02-22,37,2921,,,,,,,,,,,,,,,,,
2018-02-23,47,3194,,,,,,,,,,,,,,,,,
2018-02-24,25,2500,,,,,,,,,,,,,,,,,
2018-02-25,35,2640,,,,,,,,,,,,,,,,,
2018-02-26,55,3401,,,,,,,,,,,,,,,,,
2018-02-27,42,3038,,,,,,,,,,,,,,,,,
2018-02-28,46,2892,,,,,,,,,,,,,,,,,
2018-03-01,23,2474,,,,,,,,,,,,,,,,,
2018-03-02,56,3197,,,,,,,,,,,,,,,,,
2018-03-03,28,2643,,,,,,,,,,,,,,,,,
2018-03-04,28,2788,,,,,,,,,,,,,,,,,
2018-03-05,54,3575,,,,,,,,,,,,,,,,,
2018-03-06,55,3151,,,,,,,,,,,,,,,,,
2018-03-07,61,3082,,,,,,,,,,,,,,,,,
2018-03-08,51,2922,,,,,,,,,,,,,,,,,
2018-03-09,41,2935,,,,,,,,,,,,,,,,,
2018-03-10,28,2331,,,,,,,,,,,,,,,,,
2018-03-11,27,2573,,,,,,,,,,,,,,,,,
2018-03-12,43,1585,,,,,,,,,,,,,,,,,
2018-03-13,46,2922,,,,,,,,,,,,,,,,,
2018-03-14,44,2728,,,,,,,,,,,,,,,,,
2018-03-15,32,2774,,,,,,,,,,,,,,,,,
2018-03-16,38,2771,,,,,,,,,,,,,,,,,
2018-03-17,33,2489,,,,,,,,,,,,,,,,,
